Goals_pG,Assists_pG,Yel_pG,Red_pG,Shot_pG,Pass_success_rate,AerialsWon_pG,Rating
0.538461538,0.769230769,0,0,4.3,83.4,0,8.65
0.785714286,0.642857143,0.214285714,0,2.4,82.6,0.1,7.96
1.384615385,0.230769231,0.153846154,0,4,76.5,1,7.9
0.857142857,0.142857143,0.142857143,0,4.3,84,0.4,7.87
0.214285714,0.642857143,0,0,2.4,79.5,0.4,7.76
0.571428571,0.214285714,0,0,3,76.4,4,7.76
0.928571429,0.285714286,0,0.071428571,3.6,80,1.1,7.73
0.133333333,0.2,0.2,0,1.2,89.2,0.7,7.67
0.333333333,0.555555556,0,0,1.2,86.4,0.2,7.65
0.642857143,0.428571429,0,0,2.6,83.9,0.5,7.64
0.066666667,0.2,0.2,0,0.4,77.3,1.2,7.6
0.357142857,0.357142857,0.285714286,0,3.6,81.9,1.7,7.59
0.5,0.416666667,0,0,2.8,81.6,0.2,7.55
0.8,0.066666667,0.266666667,0,3.7,73.3,1.2,7.47
0.666666667,0.2,0.133333333,0,3.7,73.3,1.3,7.45
0.2,0.133333333,0.266666667,0,2.1,82.5,1.5,7.45
0.428571429,0.214285714,0.214285714,0,2.6,82,0,7.44
0.6,0.2,0.133333333,0,3.1,73.1,0.7,7.44
0.8,0,0.066666667,0,2.9,82.6,0.8,7.43
0.714285714,0.142857143,0.285714286,0,3.3,62.5,5.1,7.42
0.75,0,0.333333333,0,4.7,57.2,5.2,7.42
0.133333333,0.2,0.066666667,0,1.3,84.8,0.4,7.42
0.818181818,0.181818182,0.090909091,0,4.4,74,2.3,7.42
0.214285714,0.5,0.428571429,0,1.5,76.3,2.2,7.41
0.6,0.133333333,0,0,2.3,80.1,0.4,7.41
0.357142857,0.285714286,0.071428571,0.071428571,2.7,65.9,1.9,7.4
0.4,0.333333333,0.2,0,2.8,81,1.3,7.4
0.333333333,0.333333333,0.083333333,0,3.3,88.1,0.7,7.4
0.538461538,0.307692308,0.384615385,0,3,84.2,0.2,7.39
0.461538462,0.153846154,0.153846154,0,2.3,81.3,0.5,7.38
0.5,0.214285714,0.071428571,0,1.9,85.6,0.6,7.37
0.555555556,0.222222222,0.222222222,0,2.9,82.8,0.2,7.36
0.4,0.2,0.133333333,0,2.5,56,4.9,7.36
0.285714286,0.428571429,0.214285714,0,2.1,83.9,0.3,7.35
0.357142857,0.142857143,0.071428571,0,2.4,85.1,0.4,7.35
0.428571429,0.142857143,0.071428571,0,2.2,89.5,0.9,7.35
0,0.230769231,0.076923077,0,1.5,91.1,2.7,7.34
0.071428571,0.071428571,0.285714286,0,0.9,84.8,3.5,7.34
0.285714286,0.357142857,0.214285714,0,2.1,84.7,0.1,7.33
0.25,0.166666667,0.083333333,0,0.8,83.1,0.3,7.33
0.6,0.2,0.2,0,3.3,83.9,0.3,7.33
0.533333333,0.2,0,0,2.7,83.1,0.1,7.33
0.6,0.1,0.1,0,2.4,80.5,0.9,7.32
0.285714286,0.142857143,0.357142857,0,0.9,86.1,0.9,7.32
0.071428571,0.428571429,0.357142857,0,1.7,77,3.3,7.31
0.714285714,0.142857143,0.357142857,0,2.9,64.1,3.1,7.3
0.6,0.2,0,0,1.5,75.5,1,7.29
0.272727273,0.181818182,0.090909091,0,1.2,85.5,1,7.28
0.384615385,0.230769231,0.230769231,0,3.1,83.8,0.3,7.27
0.181818182,0,0.090909091,0,1.1,87.5,1.2,7.27
0.357142857,0.642857143,0.071428571,0.071428571,2,65.8,1.4,7.25
0.384615385,0.307692308,0,0,1.5,78.8,0.5,7.25
0.153846154,0.076923077,0,0,1,90.5,0.5,7.24
0,0.416666667,0.166666667,0,0.5,83.1,0.7,7.23
0.076923077,0.538461538,0,0.076923077,1.4,83.2,0.1,7.23
0.076923077,0.076923077,0.384615385,0,1.5,81.7,1.8,7.22
0.153846154,0.076923077,0.384615385,0,1.9,79.9,2.5,7.22
0.214285714,0,0,0,0.7,91.1,0.1,7.21
0,0,0.357142857,0,0.2,94,0.2,7.21
0.2,0,0.066666667,0,1,88.4,3.5,7.21
0.076923077,0.307692308,0.153846154,0,2.5,79.5,0.5,7.21
0.466666667,0.2,0.066666667,0,3.4,75.1,1.1,7.21
0.076923077,0,0.153846154,0,1.1,89.1,1.5,7.21
0.538461538,0.230769231,0,0,2.5,79.6,1,7.2
0.357142857,0.214285714,0,0,1.9,84.7,0.5,7.2
0.384615385,0.230769231,0.153846154,0,1.7,83.9,0.2,7.19
0.533333333,0.066666667,0,0,2.5,85.5,0.3,7.19
0.2,0.133333333,0.266666667,0,1.1,81,0.9,7.19
0.428571429,0.142857143,0.285714286,0,2.1,84.3,0.6,7.18
0.222222222,0.333333333,0.111111111,0.111111111,2.1,81.6,0.1,7.18
0.153846154,0.230769231,0.076923077,0,1.8,88.5,1.4,7.18
0.142857143,0.285714286,0.071428571,0,1.7,87.5,0.5,7.17
0.5,0.071428571,0.071428571,0,2.7,61.8,5.1,7.17
0,0.214285714,0.071428571,0,1.4,89.7,0.5,7.17
0.428571429,0.214285714,0.071428571,0,2.9,74.8,0.7,7.17
0.071428571,0,0.285714286,0,1.1,75.7,2.4,7.17
0,0.2,0.1,0,1,83.8,0.8,7.17
0,0,0.181818182,0,0,60.3,0,7.17
0.153846154,0.076923077,0.384615385,0,2,77.8,0.6,7.16
0.2,0.333333333,0,0,1.7,84.3,0,7.16
0.545454545,0.272727273,0.181818182,0,2.5,75.1,0.5,7.16
0.538461538,0.230769231,0.076923077,0,1.5,84.5,0.4,7.15
0,0.166666667,0.083333333,0,1.2,93.2,1.8,7.15
0,0,0.066666667,0,0,86.8,0.2,7.15
0.142857143,0.071428571,0.214285714,0.071428571,1.1,87.3,1.7,7.15
0.076923077,0,0.153846154,0,0.9,83.5,3.2,7.14
0,0,0,0,0,74.3,0.5,7.14
0.166666667,0.083333333,0,0,1.1,82.3,1.3,7.14
0,0,0.071428571,0,0,83.7,0.2,7.14
0.666666667,0.083333333,0.25,0.083333333,3.1,61.1,4.8,7.14
0.4,0.2,0.066666667,0,1.9,80.9,0.2,7.13
0,0,0,0,0,80.5,0,7.13
0.466666667,0.066666667,0.333333333,0,2.5,72.9,0.7,7.13
0.142857143,0.357142857,0.071428571,0,1,89.9,0,7.12
0.066666667,0.266666667,0.133333333,0,1.8,82.6,0.2,7.12
0,0.071428571,0.214285714,0,0.7,84.4,2.1,7.12
0.428571429,0.285714286,0.142857143,0.071428571,3.6,79.4,0.7,7.12
0.142857143,0,0.142857143,0,0.4,89.6,3.1,7.11
0.466666667,0.133333333,0.133333333,0,1.6,68,1.1,7.1
0.166666667,0.166666667,0,0,1.8,89.7,0.9,7.1
0.133333333,0.4,0.066666667,0,2.9,80.2,0.1,7.1
0,0,0.166666667,0,0.7,88.7,1.1,7.1
0.230769231,0.153846154,0,0,2.8,80.6,0.3,7.1
0.214285714,0.071428571,0.214285714,0,0.6,89.2,0.3,7.09
0.714285714,0,0.071428571,0,1.9,74.7,0.9,7.09
0.444444444,0.222222222,0.222222222,0,1.7,71.9,0.2,7.09
0.066666667,0.066666667,0.133333333,0,0.4,88.7,0.9,7.09
0.230769231,0.153846154,0,0,2.3,90.7,0.5,7.08
0.133333333,0.066666667,0.133333333,0,0.6,84.2,3.4,7.08
0.1,0,0.3,0,1,75.3,1.6,7.08
0.1,0.1,0.1,0,1.9,80.2,0.4,7.08
0,0.083333333,0,0,0.6,89.1,0.2,7.08
0.083333333,0.25,0.083333333,0,0.4,85.9,0.4,7.08
0,0.307692308,0.307692308,0,0.7,75.2,1.2,7.07
0,0.083333333,0.083333333,0,0,75.4,0.2,7.07
0.181818182,0.636363636,0.181818182,0,1.4,71.9,0.5,7.07
0.214285714,0.142857143,0.071428571,0,1.1,89.2,0.4,7.07
0.090909091,0.181818182,0,0.090909091,1.1,94.6,0.3,7.06
0.357142857,0.285714286,0.071428571,0.071428571,2.1,72.5,0.4,7.06
0.090909091,0.090909091,0.181818182,0,0.8,79.1,2.1,7.06
